gmap_id,review_count,review_text_count,response_count
0x8090419fdd420aed:0xdf55209257e51f99,616,616,109
0x8090514e30cc62fd:0xe14dcafd43afbaae,78,78,23
0x8090538d0a64d315:0x1bfa592312d80087,128,128,3
0x80906c878ee250cd:0xcc1fe44f03bf89ff,87,87,0
0x8091424bfe9a4dd5:0xe47820cbb9acfe4c,906,906,530
0x80916b642cc8d96d:0xb0b1e53f33f89a67,56,56,0
0x8091aad411f234e5:0x5a58311186fd7e61,158,158,26
0x80945d5a55bca4bb:0x53d89ff9aa17fa70,58,58,0
0x80945df168517f59:0x71965ad457f0f90c,73,73,46
0x80945f207c23ebd3:0x1260ce760b0a27c3,138,138,118
0x80945fef944da47f:0x4d209beee6230902,133,133,0
0x809468b07195897d:0xd693a40181f40100,58,58,2
0x8094bf6a48106319:0x275b2a24ff5a8d0e,98,98,7
0x809525923c579bcb:0x5765d26929622008,124,124,0
0x80952b5cd2e1e8ab:0xf82adec9c010c6e9,138,138,0
0x80952b92609e6bbf:0x59ff17c0e28f5c67,166,166,162
0x80952f486d09a2cd:0xe98613b3067f324b,4078,4078,0
0x80953025c6aa3991:0x52735becf1143e72,68,68,0
0x809531ddc0c96f63:0x57f0524bf1b7a0f0,98,98,7
0x809779096dfea577:0xc435c1318ec8e58f,85,85,0
0x809ace6b020ee7a7:0xd082f061eaa12e90,58,58,0
0x809ad1191102e3d9:0x5d553b620ae3711e,68,68,0
0x809ad11f31aa687f:0x235e37a3130e3265,124,124,104
0x809ad1ce2d56b649:0x1c66d2570aad709b,58,58,3
0x809aded909f7c56f:0x2569ddfd5526b372,235,235,235
0x809ae3fed6e797f3:0xc5c707047e2e630f,798,798,0
0x809b0e5bc468aba9:0xbb52dfb6897f6cc9,136,136,30
0x809b29e35ae35ab7:0xeaf6d4507aa16774,206,206,49
0x809b6ff75dfed6a1:0x9f9d3ef03bcca327,65,65,0
0x809b7089fec142f7:0xdfde42d604766ee0,53,53,2
0x80c28712d771db33:0x1b4ced11af89f88b,94,94,5
0x80c2904ae8fc78f1:0xac771ea600ad3d12,116,116,1
0x80c2959f8c287d4d:0x5afb1bd170891c53,74,74,71
0x80c29707a3c291dd:0xfaec2abf6f59d82b,66,66,66
0x80c299f16bb887b3:0x2fdb5ff6d9ba9ce0,58,58,4
0x80c29b992f79c9b1:0xa054c9ee84c24f8a,118,118,0
0x80c2a4b186ef2e31:0x4dddbef5e6f9cbd8,56,56,56
0x80c2b3f9b325839f:0x7a1e02bfd093991c,68,68,0
0x80c2b561ea9e3fff:0xdaacbb13a1b6e754,78,78,0
0x80c2b5807167717f:0x2bfc33a7fb08a639,68,68,0
0x80c2b7206a34660f:0x9369e52f34d049f6,166,166,135
0x80c2b7cebf4718b9:0xf0726d2af886d26e,64,64,0
0x80c2b87b0328175d:0xf1db8c07e40a4e1c,56,56,3
0x80c2b938a29aaaab:0x54ce7cb633fd2c38,68,68,0
0x80c2b9af0920e40d:0xaee6e638843e3778,447,447,110
0x80c2ba57cf3a5af9:0x58751af6bad61845,58,58,0
0x80c2ba71fec88333:0x237164ca8e98a779,570,570,0
0x80c2bb68d0f53a5d:0x4738c8aae0e85b78,58,58,0
0x80c2beb39d4521b1:0xe748316e428ea52b,96,96,0
0x80c2bebb05d3c23b:0x8c9fcfd14d5b4bfa,278,278,1
0x80c2c0522ae3d973:0xb3a5b9752de67e95,98,98,10
0x80c2c34cda7800cd:0x45e7840abcfa57f1,54,54,50
0x80c2c53e22cc8fff:0xe94c263a381a757,88,88,12
0x80c2c600e567ac7b:0x91c1370039a5a60,58,58,4
0x80c2c60f9fcfbec7:0xa97967e3153c43a8,455,455,1
0x80c2c63516124c69:0x2195e298486c9301,376,376,0
0x80c2c783b0ee7601:0xb01253c0040be4e7,87,87,1
0x80c2c86887e36dd5:0x3934c8e3ece7dd19,68,68,0
0x80c2c9b193abf17b:0x26a745017557625a,74,74,0
0x80c2caed35b8e037:0xf2dd531ff3d63924,74,74,15
0x80c2cc080be46b0b:0x7a014341af1583c9,178,178,100
0x80c2cc18cb2e6913:0x9d7fe3f54cb165d9,88,88,30
0x80c2cc19036bdf53:0xb50320685cb99124,238,238,0
0x80c2cc67de0866d5:0x1e5371d50907f252,128,128,1
0x80c2cc76b5890eb9:0x44a288072609a9ed,468,468,28
0x80c2ce0d84cb6b29:0x622fa19a88d250ac,198,198,197
0x80c2ce52e4989cef:0x749fc5bcf334ce13,78,78,0
0x80c2d397214c4bad:0x89d49518fb92d80f,73,73,19
0x80c2d9f92904be7f:0xedf149b89f94bd55,77,77,2
0x80c2ea14a2818517:0x7c78e6fee5b6ba4e,53,53,34
0x80c32c3b4c3125ef:0xe5c1633f982f6c5e,108,108,22
0x80c32ff0cb5fadc3:0xb80050fad0fcf28e,178,178,37
0x80c333943d27ab73:0xaaa29cbbaeb65067,68,68,9
0x80c333dff6efdbe9:0xd440214a02f982d9,144,144,0
0x80c3345c1b943997:0x98d9282e2546cbf0,73,73,4
0x80c336d9dc26249d:0xb128c6652761df4a,58,58,5
0x80c34a95b0da56b1:0xf572d48f72d4cd66,57,57,0
0x80c34c7b3df40577:0xfba36e353b764d6d,777,777,45
0x80c34cb76d335fc7:0x4250bc25ba34216d,698,698,496
0x80c3518a0f8923e1:0x5f01fe55ee031489,444,444,0
0x80c3552e3c5273c1:0xc8faf06f3f8c9a7e,102,102,1
0x80c438de895b4f49:0x6c3aced2fad4e5c5,78,78,0
0x80d9520db2dbce29:0x1ff763e3e6096554,293,293,267
0x80d9536fab5be54f:0xc4480733a2c8b450,338,338,0
0x80d954ac49c1f61d:0x2950c531b0690616,75,75,53
0x80d954b5ad9a96d5:0x4f75736923abee4e,96,96,19
0x80d954f69ecd58a9:0xafb26ec45bb0e5b3,57,57,0
0x80d9551786119691:0x4f2f0412a8ee712e,138,138,0
0x80d955696e58f16f:0x5d75abef5814d99e,54,54,24
0x80d95916ee53f191:0xad9e71678fa12184,76,76,0
0x80db7e36d887c949:0x63372c7822c00b48,58,58,0
0x80db7e382456c4cb:0x53ac610d2962507,138,138,0
0x80db7ecd4c4f7e55:0xb53c2c04e971073b,78,78,77
0x80dbf59b16db3373:0xb9f550bb8487401e,668,668,0
0x80dbfa31f6d81d47:0xc32bc818589f4018,168,168,0
0x80dbfa3bcd1b9399:0x2db7f66bffc1738f,78,78,5
0x80dc003ee08852bd:0x6dc838de51fa80c1,58,58,5
0x80dc06c0c86cf991:0xa61124bfd9e45068,156,156,0
0x80dc735b0e021679:0x86970d1b99ed27fb,1137,1137,1072
0x80dc742f463f366b:0x8443385854d79449,65,65,0
0x80dc825b16f6fe79:0x2445228c8a5259e,88,88,1
0x80dca1d6e50af983:0xcebbfd06a76a096,88,88,0
0x80dca8a0286e27dd:0x4469f2eb8c6ea6ed,128,128,90
0x80dcadebdd79dc1f:0xcdf6047fbcf5662f,73,73,62
0x80dcce27930ab761:0xe090649022ebf339,54,54,2
0x80dcd6fc00000001:0xeec6c726ecccc051,104,104,2
0x80dcd9e0c01c14e7:0x481c0ef9e0cef1c9,64,64,55
0x80dcddb056dafeab:0x86dae8fdfafcc2f2,667,667,118
0x80dce0f4bc7b1e1d:0xf628b21f583cec7f,354,354,0
0x80dce8798ef0bc0b:0x8e9c13f50906ad8d,208,208,0
0x80dcebd5135aa2dd:0xe7d332c6fe199401,58,58,0
0x80dcf5530216389f:0xde3c656a753c7b46,58,58,0
0x80dd2071b7b69ed7:0x764715bef409df72,58,58,0
0x80dd20c14ac41d2f:0x9d3fed676d355849,86,86,5
0x80dd26c3c1507f5d:0x177ef0d65f0ea6a5,363,363,20
0x80dd28a80d3694db:0x1856a806dae34dd7,218,218,0
0x80dd28ab701d9629:0x2caf5afd2ca17498,145,145,0
0x80dd29c3fa592595:0x6f97a95675d3f47b,128,128,0
0x80dd2ac364a5f9df:0xa15f6a533dbd963,88,88,0
0x80dd3630880e86c9:0xa82914858feac7f0,398,398,0
0x80dd4ac993e5f8d7:0x3b9a646a5a8e0f11,88,88,38
0x80dd4bce2de24da5:0x8bb477423d51f9e,75,75,0
0x80deaa39f686f483:0x7cb8ee6a449ff97e,56,56,8
0x80e824fcd467d273:0xf5aad94f5647834c,318,318,130
0x80e84e82981f4e89:0xcab221ce7ab37574,127,127,16
0x80e9135871fada9d:0x2c7d17b75b94179,88,88,0
0x80ea40ee4abef035:0x5805ef1a1b3299cd,93,93,16
0x80ea421ce86f0497:0x5b5afa077475a774,819,819,0
0x80ea4300f599d8e5:0x7329ab3d671425c1,228,228,0
0x80ea6a91eafe7acd:0x6d9ba9785af38ee0,198,198,13
0x80eb2d286a214de3:0xbf9b24250923ebdc,52,52,0
0x80ecc56bd86d4b75:0xa9e2a577ebba1dde,75,75,21
